Ticker Symbol,Number of Anomalies,Predicted Total Revenue,Predicted Net Income,Predicted Total Assets,Predicted Earnings Per Share,Total Revenue Y1,Total Revenue Y2,Total Revenue Y3,Total Revenue Y4,Net Income Y1,Net Income Y2,Net Income Y3,Net Income Y4,Total Assets Y1,Total Assets Y2,Total Assets Y3,Total Assets Y4,Earnings Per Share Y1,Earnings Per Share Y2,Earnings Per Share Y3,Earnings Per Share Y4
LKQ,0,7961060078.238924,471143691.5037074,5926789390.58818,0.88,4122930000.0,5062528000.0,6740064000.0,7192633000.0,261225000.0,311623000.0,381519000.0,423223000.0,3723456000.0,4518774000.0,5475739000.0,5647837000.0,0.88,0.88,0.88,0.88
LLL,0,10383407047.015142,-321813058.87880266,12055725894.342163,-5.860230224102381,13107000000.0,11420000000.0,10986000000.0,10466000000.0,784000000.0,751000000.0,664000000.0,-240000000.0,13800000000.0,14007000000.0,13715000000.0,12085000000.0,8.41,8.7,7.78,-2.97
LLY,1,18959694331.54575,2641325996.6154313,35611030901.115074,2.6718478728920916,22603400000.0,23113100000.0,19615600000.0,19958700000.0,4088600000.0,4684800000.0,2390500000.0,2408400000.0,34398900000.0,35248700000.0,36307600000.0,35568900000.0,3.67,4.33,2.23,2.27
LNT,1,3249293972.3012385,388645693.5039331,13061074557.517939,3.220351968748957,3094500000.0,3276800000.0,3350300000.0,3253600000.0,335700000.0,376200000.0,393300000.0,388400000.0,10785500000.0,11112400000.0,12063500000.0,12495200000.0,2.89,3.23,3.46,3.36
LUK,1,10056513952.21362,308800828.32566166,50478531435.08917,0.5963093559172505,7810610000.0,9531778000.0,10681897000.0,10116502000.0,864641000.0,362193000.0,199025000.0,252111000.0,9349118000.0,47866781000.0,52623908000.0,46339812000.0,3.49,1.07,0.54,0.74
LVLT,1,8824873497.331408,6746825174.065421,27545286595.084198,13.782026744114713,6376000000.0,6313000000.0,6777000000.0,8229000000.0,-422000000.0,-109000000.0,314000000.0,3433000000.0,13307000000.0,12874000000.0,20947000000.0,24145000000.0,-1.96,-0.49,1.23,9.71
LYB,1,37730229195.73404,4586331020.421514,22369074625.70141,11.150134739156035,45352000000.0,44062000000.0,45608000000.0,32735000000.0,2848000000.0,3857000000.0,4174000000.0,4476000000.0,24220000000.0,27298000000.0,24221000000.0,22757000000.0,4.97,6.8,8.03,9.62
MAA,0,1225420903.9140103,610057598.1240466,7648930128.037649,3.287288611176104,475888000.0,635490000.0,992332000.0,1042779000.0,109825000.0,119279000.0,156277000.0,350745000.0,2751068000.0,6841925000.0,6821778000.0,6847781000.0,2.56,2.27,1.97,4.41
MAC,0,1407858768.4316678,1415076933.3657465,13112911619.39786,5.1890975977683915,797517000.0,1029475000.0,1105247000.0,1288149000.0,337426000.0,420090000.0,1499042000.0,487562000.0,9311209000.0,9075250000.0,13121778000.0,11258576000.0,2.51,3.01,10.46,3.08
MAR,1,15145090010.787176,954334298.9535815,6028681404.302645,3.2020942672254344,11814000000.0,12784000000.0,13796000000.0,14486000000.0,571000000.0,626000000.0,753000000.0,859000000.0,6342000000.0,6794000000.0,6833000000.0,6082000000.0,2.6,2.05,2.6,3.22
MAT,0,5674933252.80218,368264098.3884653,6727260277.034942,1.1582773956231116,6420881000.0,6484892000.0,6023819000.0,5702613000.0,776464000.0,903944000.0,498874000.0,369416000.0,6526785000.0,6439626000.0,6721983000.0,6552689000.0,2.25,2.61,1.46,1.08
MCD,1,25367433218.84797,4398675015.535814,36483289842.76038,4.926899066564166,27567000000.0,28105700000.0,27441300000.0,25413000000.0,5464800000.0,5585900000.0,4757800000.0,4529300000.0,35386500000.0,36626300000.0,34227400000.0,37938700000.0,5.41,5.59,4.85,4.82
MCO,1,3671864952.779174,961525588.7534356,5508083123.739653,4.427852035493409,2730300000.0,2972500000.0,3334300000.0,3484500000.0,690000000.0,804500000.0,988700000.0,941300000.0,3960900000.0,4395100000.0,4669000000.0,5123400000.0,3.09,3.67,4.69,4.7
MDLZ,1,29574645096.198627,3802255751.6656485,59770715606.96694,2.217109468099277,35015000000.0,35299000000.0,34244000000.0,29636000000.0,3067000000.0,3915000000.0,2184000000.0,7267000000.0,75477000000.0,72515000000.0,66771000000.0,62843000000.0,1.7,2.21,1.29,4.49
MET,1,72685916807.60175,4582709498.09861,876786503334.2079,3.811818302818879,68150000000.0,68199000000.0,73316000000.0,69951000000.0,1324000000.0,3368000000.0,6309000000.0,5310000000.0,836781000000.0,885296000000.0,902337000000.0,877933000000.0,1.12,2.94,5.48,4.61
MHK,0,8150804699.703191,735697038.7047327,10396211184.813974,5.7062020162289,5787980000.0,7348754000.0,7803446000.0,8071563000.0,250258000.0,348786000.0,531965000.0,615302000.0,6303684000.0,8494177000.0,8285544000.0,9942364000.0,3.63,4.86,7.3,2.59
MJN,0,4049797176.3603086,642069457.9470544,4243331463.7967296,3.244904847546113,3901300000.0,4200700000.0,4409300000.0,4071300000.0,580400000.0,683800000.0,719800000.0,653500000.0,3258200000.0,3474100000.0,3763800000.0,3998100000.0,2.96,3.2,3.55,3.28
MLM,1,4032728622.9064302,485460011.7524375,8128281166.100905,4.919271721580078,2031901000.0,2155551000.0,2957951000.0,3539570000.0,84474000.0,121337000.0,155601000.0,288792000.0,3160926000.0,3259826000.0,7219754000.0,6961732000.0,1.83,2.62,2.73,4.31
MMC,1,13040383923.696232,1695294836.3869014,18656333043.92471,3.2899776945685257,11924000000.0,12261000000.0,12951000000.0,12893000000.0,1176000000.0,1357000000.0,1465000000.0,1599000000.0,16288000000.0,16980000000.0,17793000000.0,18216000000.0,2.16,2.47,2.69,3.01
MNST,2,2942283718.3753514,613117487.9064457,11584747270.1005,2.785,2060702000.0,2246428000.0,2464867000.0,2722564000.0,340020000.0,338661000.0,483185000.0,546733000.0,1043325000.0,1420509000.0,1938875000.0,5675189000.0,2.785,2.785,2.785,2.785
MO,0,25428429939.338417,5475025309.506854,31745553862.989723,2.643885459458468,24618000000.0,24466000000.0,24522000000.0,25434000000.0,4180000000.0,4535000000.0,5070000000.0,5241000000.0,35329000000.0,34859000000.0,34475000000.0,32535000000.0,2.06,2.26,2.56,2.67
MPC,0,66059494127.792404,2712191905.689082,48156891532.16594,8.215647508724079,82243000000.0,100160000000.0,97817000000.0,72051000000.0,3389000000.0,2112000000.0,2524000000.0,2852000000.0,27223000000.0,28385000000.0,30425000000.0,43115000000.0,9.95,6.69,8.84,5.29
MRK,0,37530166073.32786,10431572068.186386,101101855266.74055,2.7212996755201413,47267000000.0,44033000000.0,42237000000.0,39498000000.0,6168000000.0,4404000000.0,11920000000.0,4442000000.0,106132000000.0,105645000000.0,98167000000.0,101779000000.0,2.03,1.49,4.12,1.58
MRO,1,5538148056.354613,4730861951.088253,32281430802.137608,3.3527343540007433,11966000000.0,11325000000.0,10846000000.0,5522000000.0,1582000000.0,1753000000.0,3046000000.0,-2204000000.0,35306000000.0,35620000000.0,35983000000.0,32311000000.0,2.24,2.49,4.48,-3.26
MTB,1,4848467578.23089,1065172027.6470132,135700463571.28851,7.5289467398872585,4608955000.0,4822539000.0,4736150000.0,4995881000.0,1029498000.0,1138480000.0,1066246000.0,1079667000.0,83008803000.0,85162391000.0,96685535000.0,122787884000.0,7.57,8.26,7.47,7.22
MUR,1,2387223378.2509065,-6099456064.987526,11419954153.285145,-16.05867775201209,4608563000.0,5312686000.0,5288933000.0,2787116000.0,970876000.0,1123473000.0,905611000.0,-2270833000.0,17522643000.0,17509484000.0,16723738000.0,11493812000.0,5.01,5.98,5.06,-13.03
NDAQ,0,3329133666.3194265,440121711.0822774,11822193814.102,2.660940172897298,3023000000.0,3100000000.0,3383000000.0,3292000000.0,352000000.0,385000000.0,414000000.0,428000000.0,9132000000.0,12577000000.0,12071000000.0,11861000000.0,2.09,2.3,2.45,2.56
NEE,1,18318212811.97011,3023399808.189338,88455343522.11465,5.9574855586013875,14256000000.0,15136000000.0,17021000000.0,17486000000.0,1911000000.0,1908000000.0,2465000000.0,2752000000.0,64439000000.0,69306000000.0,74605000000.0,82479000000.0,4.59,4.5,5.67,6.11
NEM,0,7581559960.597063,-142732335.69187325,25133941304.545208,-0.9808475850396001,9964000000.0,8414000000.0,7292000000.0,7729000000.0,1802000000.0,-2534000000.0,508000000.0,220000000.0,29650000000.0,24607000000.0,24916000000.0,25182000000.0,3.65,-4.94,1.02,0.43
NFX,1,1487433740.5284698,2321663811.5477676,3966290390.172057,-1.4732234248025087,1562000000.0,1857000000.0,2288000000.0,1557000000.0,-1184000000.0,147000000.0,900000000.0,-3362000000.0,7912000000.0,9321000000.0,9580000000.0,4768000000.0,-8.8,0.94,6.59,-21.18
NOV,1,14226483135.482077,545532655.031199,25946704144.403957,-0.9098123262498401,17194000000.0,19221000000.0,21440000000.0,14757000000.0,2491000000.0,2327000000.0,2502000000.0,-769000000.0,31484000000.0,34812000000.0,33562000000.0,26725000000.0,5.86,5.46,5.85,-1.99
NTRS,1,5076277390.0804405,1068228525.2709345,123154213388.59142,4.773143034087614,4193500000.0,4311700000.0,4512600000.0,4856500000.0,687300000.0,731300000.0,811800000.0,973800000.0,97463800000.0,102947300000.0,109946500000.0,116749600000.0,2.82,3.01,3.34,4.03
NUE,1,18682691818.851715,538199541.8922985,14153273762.126095,2.049014421855488,19429273000.0,19052046000.0,21105141000.0,16439276000.0,504619000.0,488025000.0,713946000.0,357659000.0,14152059000.0,15203283000.0,15615927000.0,14250399000.0,1.58,1.52,2.22,1.11
NWL,0,6050449606.947681,337807384.9559033,7267123811.189056,1.413206125960654,5508500000.0,5607000000.0,5727000000.0,5915700000.0,401300000.0,474600000.0,377800000.0,350000000.0,6222000000.0,6069700000.0,6564300000.0,7278000000.0,1.38,1.64,1.37,1.3
O,1,1072311870.9534446,289834194.1861257,12632685076.479404,1.036019747627377,484581000.0,780209000.0,933505000.0,1023285000.0,159152000.0,245564000.0,270635000.0,283766000.0,5429348000.0,9924441000.0,11012622000.0,11865870000.0,0.86,1.06,1.04,1.09
OKE,1,7061974086.88799,288281430.0490053,14913721934.922873,1.48726478225585,10184121000.0,11871879000.0,12195091000.0,7763206000.0,360619000.0,266533000.0,314107000.0,244977000.0,15855275000.0,17741481000.0,15261773000.0,15446111000.0,1.75,1.29,1.5,1.17
ORLY,2,8558952075.431479,1045719982.0252401,6873360777.434079,11.08190804846169,6182184000.0,6649237000.0,7216081000.0,7966674000.0,585746000.0,670292000.0,778182000.0,931216000.0,5749187000.0,6067208000.0,6532083000.0,6676684000.0,4.83,6.14,7.46,9.32
OXY,2,12349613640.093582,-15097173236.387474,41592657892.942154,-17.793892961106188,20100000000.0,20170000000.0,19312000000.0,12480000000.0,4598000000.0,5903000000.0,630000000.0,-7829000000.0,64210000000.0,69443000000.0,56259000000.0,43437000000.0,5.67,7.33,0.79,-10.23
PBCT,0,1421620449.0877316,261539209.93865585,41701297222.08656,0.8615746785667417,1355300000.0,1346100000.0,1381400000.0,1421300000.0,245300000.0,232400000.0,251700000.0,260100000.0,30324400000.0,33213700000.0,35997100000.0,38877400000.0,0.72,0.74,0.84,0.86
PBI,0,3506873915.9393206,342335920.5625627,6084998156.379474,1.4568801086472436,3823713000.0,3791335000.0,3821504000.0,3578060000.0,445163000.0,142835000.0,333755000.0,407943000.0,7859891000.0,6772708000.0,6499702000.0,6141462000.0,2.22,0.71,1.65,2.04
PCAR,1,19343305522.58165,1766392123.3921714,21153512214.504745,5.119116559473323,16596800000.0,16661000000.0,18534400000.0,18671300000.0,1111600000.0,1171300000.0,1358800000.0,1604000000.0,18627800000.0,20725500000.0,20618800000.0,21109800000.0,3.13,3.31,3.83,4.52
PCLN,0,10004241784.370747,2716087949.9098864,20098507541.50094,50.35251709518326,5260956000.0,6793306000.0,8441971000.0,9223987000.0,1419566000.0,1892663000.0,2421753000.0,2551360000.0,6569742000.0,10444460000.0,14770977000.0,17420575000.0,28.48,37.17,46.3,50.09
PEG,1,10483306805.28876,1693240840.326977,39463355687.637505,3.2768541223701995,9781000000.0,9968000000.0,10886000000.0,10415000000.0,1275000000.0,1243000000.0,1518000000.0,1679000000.0,31725000000.0,32522000000.0,35287000000.0,37535000000.0,2.52,2.46,3.0,3.32
PFE,1,48308897117.66561,9424380072.89183,167083161817.19565,1.7091429651959256,54657000000.0,51584000000.0,49605000000.0,48851000000.0,14570000000.0,22003000000.0,9135000000.0,6960000000.0,185798000000.0,172101000000.0,167566000000.0,167460000000.0,1.96,3.23,1.44,1.13
PGR,1,22106962605.30884,1266504518.6948752,32164252253.13822,2.104647809013237,17083900000.0,18170900000.0,19391400000.0,20853800000.0,902300000.0,1165400000.0,1281000000.0,1267600000.0,22694700000.0,24408200000.0,25787600000.0,29819300000.0,1.5,1.95,2.17,2.16
PNC,0,16123540116.272215,4081057897.358029,375177774682.68866,7.4148383780939815,16606000000.0,16872000000.0,16281000000.0,16270000000.0,3001000000.0,4201000000.0,4184000000.0,4106000000.0,305107000000.0,320192000000.0,345072000000.0,358493000000.0,5.36,7.48,7.44,7.52
PNR,1,6202566656.583041,123458677.14203319,11804574162.321846,1.0335577307485961,4306800000.0,6999700000.0,7039000000.0,6449000000.0,-107200000.0,536800000.0,214900000.0,-76400000.0,11882700000.0,11743300000.0,10655200000.0,11857000000.0,-0.84,2.67,1.13,-0.42
PNW,1,3497202856.504171,436475979.45193684,15573829069.304836,3.743573618119502,3301804000.0,3454628000.0,3491632000.0,3495443000.0,413164000.0,406074000.0,397595000.0,437257000.0,13379615000.0,13508686000.0,14288890000.0,15028258000.0,3.48,3.69,3.59,3.94
PPL,0,7733615833.365606,1311091954.0438569,38824582336.99486,2.3517910868725362,12132000000.0,7263000000.0,7852000000.0,7669000000.0,1526000000.0,1130000000.0,1737000000.0,682000000.0,43634000000.0,46259000000.0,48606000000.0,39301000000.0,2.61,1.85,2.64,1.01
PRU,0,54452037842.05204,7711758562.514228,761841771037.1549,8.498986376689164,84847000000.0,41461000000.0,54105000000.0,57119000000.0,520000000.0,-667000000.0,1381000000.0,5642000000.0,709235000000.0,731781000000.0,766655000000.0,757388000000.0,-0.48,-1.55,-2.69,12.37
PSX,1,95088498815.7908,4797315864.020073,48444190632.057846,7.390413229528948,179290000000.0,171596000000.0,161212000000.0,98975000000.0,4124000000.0,3726000000.0,4762000000.0,4227000000.0,48073000000.0,49798000000.0,48692000000.0,48580000000.0,6.55,6.07,8.4,7.78
PWR,1,7852943551.060652,336019466.93003404,5098349953.212237,1.5631871780368973,5920269000.0,6411577000.0,7747229000.0,7572436000.0,322656000.0,421309000.0,315082000.0,321824000.0,5140757000.0,5793245000.0,6253583000.0,5213543000.0,1.44,1.87,1.35,1.59
PX,1,10687683184.119953,1540816392.6337557,18144296844.517193,5.224566956398579,11224000000.0,11925000000.0,12273000000.0,10776000000.0,1692000000.0,1755000000.0,1694000000.0,1547000000.0,18090000000.0,20255000000.0,19769000000.0,18319000000.0,5.67,5.94,5.79,5.39
RCL,1,8451200746.90574,581278145.1096966,21264985345.032776,2.2898332510266473,7688024000.0,7959894000.0,8073855000.0,8299074000.0,18287000.0,473692000.0,764146000.0,665783000.0,19827930000.0,20072947000.0,20713190000.0,20921855000.0,0.08,2.16,3.45,3.03
ROP,1,3664477314.6143837,766398129.0844206,11182437096.492943,6.848009224094468,2993489000.0,3238128000.0,3549494000.0,3582395000.0,483360000.0,538293000.0,646033000.0,696067000.0,7071104000.0,8184981000.0,8400185000.0,10168365000.0,4.95,5.43,6.47,6.92
RRC,1,937259810.3333068,892192728.9712499,6824474881.463451,3.379220012540584,1367135000.0,1832253000.0,2042537000.0,1181704000.0,13002000.0,115722000.0,634382000.0,-713685000.0,6728735000.0,7299086000.0,8704604000.0,6900031000.0,0.08,0.71,3.81,-4.29
SCG,1,4352205955.936155,852109164.2883338,17883066075.292843,6.207252719186449,4176000000.0,4495000000.0,4951000000.0,4380000000.0,420000000.0,471000000.0,538000000.0,746000000.0,14616000000.0,15164000000.0,16818000000.0,17146000000.0,3.2,3.4,3.79,5.22
SCHW,1,6707587176.215959,1618663073.4737172,200238944456.8967,1.0309855300601096,4883000000.0,5435000000.0,6058000000.0,6380000000.0,928000000.0,1071000000.0,1321000000.0,1447000000.0,133637000000.0,143642000000.0,154642000000.0,183718000000.0,0.69,0.78,0.96,1.04
